Item,Quantity,Notes,Links
Seeed XIAO nRF52840,2,"One per half, BLE",Aliexpress
MX-style mechanical switches,42,Holy Pandas,Aliexpress
1N4148 Diode (SOD-123),42,Per-key diode,Aliexpress
LiPo Battery 3.7V,2,300 mAh ,Aliexpress
JST-PH 2-pin Connector,2,Battery connector,Aliexpress
Keycaps,42,MX compatible,Aliexpress
Keyboard Case (L+R),1,3d printed,
Switch Plate Set (L+R),1,3d printed,
Plate Foam Set,1,Sound dampening,Aliexpress
Screws (M2/M3),16,Approximate,Aliexpress
Kalih Hotswap,42,For hotswap,Aliexpress
Pcb ,1,jlcpcb,
,,,
Cost Breakdown,,,
Aliexpress,$67.21,,
JLCPCB,$22.43,,
Total,$89.64,,